gmm_cluster,count,mean,std,min,max,metric
0,2113,213.72314245149076,240.10019712258077,0.0,3306.0,bare_routed_2q
1,714,226.80252100840337,209.56856488449074,0.0,828.0,bare_routed_2q
0,2113,393.4462849029815,397.79735289983716,6.0,4819.0,bare_routed_depth
1,714,403.827731092437,324.0753505504483,4.0,1251.0,bare_routed_depth
0,2112,2.0139610204154272,0.1115203004182608,1.6065573770491803,2.769230769230769,mirror_over_bare_2q
1,712,1.9667682782689708,0.22746528955252748,0.5217391304347826,2.4705882352941178,mirror_over_bare_2q
