best_k,silhouette,n_samples,n_features,pca_dims,method,embedding,bic,n_clusters,noise_points,noise_ratio
2.0,0.3507552534634198,2827,384,384.0,kmeans,gat_aug_dropout_and_norm_with_improved_edges_training.csv,,,,
2.0,0.3526862188112628,2827,384,384.0,gmm,gat_aug_dropout_and_norm_with_improved_edges_training.csv,-11145295.54931897,,,
,,2827,384,,hdbscan,gat_aug_dropout_and_norm_with_improved_edges_training.csv,,17.0,95.0,0.03360452776795189
