best_k,silhouette,n_samples,n_features,pca_dims,method,embedding,bic,n_clusters,noise_points,noise_ratio
2.0,0.25757499112613763,2827,384,384.0,kmeans,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,,,,
2.0,0.029604988596204657,2827,384,384.0,gmm,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,-11241485.286106724,,,
,,2827,384,,hdbscan,graphsage_aug_dropout_and_norm_with_improved_edges_training.csv,,6.0,560.0,0.19808984789529538
