kmeans_cluster,count,mean,std,min,max,metric
0,2113,213.72314245149076,240.10019712258077,0.0,3306.0,bare_routed_2q
1,143,208.7972027972028,64.69000395608943,73.0,380.0,bare_routed_2q
2,166,55.1144578313253,18.74014089096884,6.0,90.0,bare_routed_2q
3,223,498.23766816143495,138.58854787371592,198.0,828.0,bare_routed_2q
4,182,64.96153846153847,38.018513283875166,0.0,173.0,bare_routed_2q
0,2113,393.4462849029815,397.79735289983716,6.0,4819.0,bare_routed_depth
1,143,426.53146853146853,95.15649113736117,226.0,661.0,bare_routed_depth
2,166,83.75301204819277,29.970781073327203,25.0,168.0,bare_routed_depth
3,223,819.542600896861,171.1894707296579,427.0,1251.0,bare_routed_depth
4,182,168.56043956043956,83.11420735950676,4.0,366.0,bare_routed_depth
0,2112,2.0139610204154272,0.1115203004182608,1.6065573770491803,2.769230769230769,mirror_over_bare_2q
1,143,2.0295764556463975,0.07720626277733701,1.8398058252427183,2.2785714285714285,mirror_over_bare_2q
2,166,1.7600689852505185,0.36713928543318136,0.5217391304347826,2.4705882352941178,mirror_over_bare_2q
3,223,2.0367492476726303,0.07532733522829682,1.8283132530120485,2.219642857142857,mirror_over_bare_2q
4,180,2.020794706597165,0.13301196724450537,1.4375,2.382978723404255,mirror_over_bare_2q
