epoch,loss
0,3.3631339181553233
1,2.883372090079568
2,2.695948763327165
3,2.538702617992054
4,2.462116848338734
5,2.3766052289442583
6,2.332382169636813
7,2.2998064756393433
8,2.2381360097364946
9,2.268521037968722
10,2.252633051438765
11,2.224674268202348
12,2.1635447198694404
13,2.168942592360757
14,2.1908093474128028
15,2.1652771451256494
16,2.1432084278626875
17,2.111715603958477
18,2.075812740759416
19,2.0429728031158447
20,2.032973517071117
21,2.021097432483326
22,2.0110162063078447
23,1.9741223671219565
24,2.0179489959370005
25,1.9822055155580693
26,1.9679821567101912
27,1.979975781657479
28,1.974602390419353
29,1.9424770149317654
30,1.934807609428059
31,1.922954429279674
32,1.9176511547782205
33,1.8987651954997669
34,1.9277101375839927
35,1.9010355093262412
36,1.877315965565768
37,1.8722864443605596
38,1.8480845906517722
39,1.8786818439310247
40,1.8952896324071018
41,1.8635287393223157
42,1.8589832403443076
43,1.869877663525668
44,1.838611814108762
45,1.8541238578883084
46,1.8424955606460571
47,1.8544978174296292
48,1.8475940390066667
49,1.8416879881512036
50,1.8470932191068477
51,1.8610059348019687
52,1.803167456930334
53,1.8264454115520825
54,1.8071368661793796
55,1.831663727760315
56,1.7948702031915837
57,1.8419722481207415
58,1.8001628463918513
59,1.7772228934548118
60,1.8251926031979648
61,1.7716938799077815
62,1.7986391132528132
63,1.8166940103877673
64,1.8058390671556646
65,1.815880829637701
66,1.7935938401655718
67,1.810932078144767
68,1.8122343854470686
69,1.770499511198564
70,1.770863419229334
71,1.742458468133753
72,1.7834969542243264
73,1.815943013538014
74,1.7602873661301353
75,1.7601700967008418
76,1.7714593085375698
77,1.7857921394434841
78,1.741956038908525
79,1.7512160268696872
80,1.7635805877772244
81,1.7532541751861572
82,1.7637161829254844
83,1.7874438166618347
84,1.77981835603714
85,1.76121985912323
86,1.7841507358984514
87,1.7600168098102917
88,1.7395746057683772
89,1.763255162672563
90,1.741833670572801
91,1.7695672728798606
92,1.7522645484317432
93,1.7429573210802944
94,1.7400229627435857
95,1.719170944257216
96,1.7391924262046814
97,1.73220017823306
98,1.7716657410968433
99,1.7669462778351523
100,1.7447550296783447
101,1.7035057002847844
102,1.7269915342330933
103,1.727176151492379
104,1.7721900723197244
105,1.771768569946289
106,1.723376918922771
107,1.7155754186890342
108,1.7391338673504917
109,1.8009404702620073
110,1.7572269493883306
111,1.711816359650005
112,1.7379872311245312
113,1.7215538620948792
114,1.7233788804574446
115,1.7094794782725247
116,1.7056409391489895
