epoch,loss
0,4.2449539791453965
1,4.15821268341758
2,4.103555863553828
3,4.080187634988264
4,4.082819472659718
5,4.070145910436457
6,4.076369328932329
7,4.070436065847224
8,4.0604069666429
9,4.060003540732644
10,4.0692820007150825
11,4.05814079804854
12,4.060960184444081
13,4.050840236923912
14,4.043305982242931
15,4.044523726810109
16,4.03812540661205
17,4.0417223085056655
18,4.04470799186013
19,4.038797866214406
20,4.054123271595348
21,4.043923616409302
22,4.042464451356367
23,4.0344907153736465
24,4.038968498056585
25,4.035456191409718
26,4.033062934875488
27,4.027396960691973
28,4.031733848831871
29,4.034915382211858
30,4.039672342213717
31,4.030313058332964
32,4.032768173651262
33,4.0218423279848965
34,4.027673298662359
35,4.024103424765847
36,4.017734570936724
37,4.022252429615367
38,4.023722312667153
39,4.023700865832242
40,4.025514873591336
41,4.017634586854414
42,4.015290997245095
43,4.025489492849871
44,4.0116554498672485
45,4.006253318353132
46,4.010473197156733
47,4.007797468792308
48,4.023792429403826
49,4.0149958458813755
50,4.002865000204607
51,4.005799694494768
52,4.019551017067649
53,4.008029406720942
54,4.018122673034668
55,4.002788522026756
56,4.003137902780012
57,3.989978140050715
58,4.015849774534052
59,4.021625540473244
60,3.9959392330863257
61,4.002859874205156
62,4.0116764307022095
63,4.00034808028828
64,4.0046586123379795
65,4.017732154239308
66,4.008601752194491
67,4.010454492135481
68,4.000347484241832
69,3.9949496767737647
70,3.994505513798107
71,4.003122535618869
72,3.991074551235546
