epoch,loss
0,3.5356017026034268
1,3.192218401215293
2,2.8474819876930932
3,2.509107242931019
4,2.298536625775424
5,2.16537391055714
6,2.084159948609092
7,2.0190565531904046
8,1.9746300090443005
9,1.9432375647804954
10,1.9029144319620999
11,1.8445885452357205
12,1.814891750162298
13,1.7698474634777417
14,1.7569014592604204
15,1.7388489734042774
16,1.6998257691209966
17,1.6748340021480213
18,1.6702925942160867
19,1.6559685414487666
20,1.634561614556746
21,1.6262582432140003
22,1.616485064679926
23,1.5936057025736028
24,1.5776346054944126
25,1.5460269884629683
26,1.558219687505202
27,1.5486886447126216
28,1.521798556501215
29,1.5184997536919334
30,1.50051396001469
31,1.4916774359616367
32,1.4870888699184766
33,1.4723603237758984
34,1.4873295101252468
35,1.4658205238255588
36,1.4582158923149109
37,1.4625060775063254
38,1.4445569244298069
39,1.4430085149678318
40,1.433579683303833
41,1.428416989066384
42,1.4221237247640437
43,1.4301006523045627
44,1.4247187159278176
45,1.4229015491225503
46,1.423156277699904
47,1.4101548953489824
48,1.3998089107600125
49,1.3947738842530684
50,1.4122724749825217
51,1.3964752771637656
52,1.37595764615319
53,1.3720648017796604
54,1.3833751461722634
55,1.3787728385491804
56,1.3881774273785679
57,1.3638592470775952
58,1.3670904257080772
59,1.356888305057179
60,1.3549683744257146
61,1.3572620749473572
62,1.3463897596706043
63,1.3434198173609646
64,1.340534578670155
65,1.3465423638170415
66,1.334941571409052
67,1.3347246755253186
68,1.3473626971244812
69,1.3243953477252612
70,1.3195494196631692
71,1.337335082617673
72,1.3317709565162659
73,1.3186852661046116
74,1.315366344018416
75,1.3205502900210293
76,1.318541873585094
77,1.3126071745699102
78,1.3047151186249473
79,1.3032710010355169
80,1.304914192719893
81,1.3115870302373713
82,1.2998664379119873
83,1.3049547997387974
84,1.2848094647580928
85,1.303404081951488
86,1.2921022989533164
87,1.2839888388460332
88,1.2854324308308689
89,1.2719832767139783
90,1.281283600763841
91,1.2856498848308215
92,1.2776300365274602
93,1.2772779789837925
94,1.2824662977998906
95,1.2665437189015476
96,1.2817289504137905
97,1.2671266414902427
98,1.2644094608046792
99,1.2637829130346125
100,1.2605016394094988
101,1.27037897976962
102,1.2563877701759338
103,1.261584390293468
104,1.2647485407915982
105,1.2569245425137607
106,1.2601212046363137
107,1.2470865683122114
108,1.2569702863693237
109,1.2448022799058394
110,1.2451820752837441
111,1.2436580387028782
112,1.246249263936823
113,1.253768108107827
114,1.244947845285589
115,1.2523369789123535
116,1.2431988445195286
117,1.245326573198492
118,1.2481356425718828
119,1.2414270422675393
120,1.2392972924492576
121,1.2401087500832297
122,1.2334971969777888
123,1.2431102124127476
124,1.2231240597638218
125,1.2331495068290017
126,1.243734446438876
127,1.2280813293023543
128,1.2271688201210715
129,1.232493974945762
130,1.2298560250889172
131,1.2309380498799412
132,1.2421922466971658
133,1.228404549035159
134,1.210357904434204
135,1.2106627280061895
136,1.2123573910106311
137,1.200049102306366
138,1.2111185843294316
139,1.2127330032261936
140,1.2139722488143228
141,1.2079030058600686
142,1.202897461977872
143,1.2021457715467974
144,1.215949990532615
145,1.2001825083385815
146,1.1998529921878467
147,1.2165566628629512
148,1.2020874402739785
149,1.198583017696034
150,1.2026265913789922
151,1.2146505442532627
152,1.2070626237175681
153,1.2017960656772961
154,1.2012685537338257
155,1.193163898858157
156,1.1923183798789978
157,1.1914253126491199
158,1.1915024681524797
159,1.204065198248083
160,1.1872393868186257
161,1.1987144351005554
162,1.2034634351730347
163,1.1987183744257146
164,1.179560206153176
165,1.1940394314852627
166,1.194640338420868
167,1.1862201257185503
168,1.1898614926771685
169,1.1773573485287754
170,1.1907137632369995
171,1.1905348192561755
172,1.1870498277924277
173,1.1713423187082463
174,1.2041389671238987
175,1.1757933334870772
176,1.1859660853039136
177,1.18914273110303
178,1.1885290904478594
179,1.1834529584104365
180,1.1775807629932056
181,1.1755943081595681
182,1.1770642453973943
183,1.1901632384820418
184,1.1877261725339023
185,1.1843163912946528
186,1.1841814788905056
187,1.1686376549980857
188,1.1628349911082874
189,1.1787142157554626
190,1.1812519214370034
191,1.1676718971946023
192,1.1753612702543086
193,1.1720512834462253
194,1.1829187111421064
195,1.1762966513633728
196,1.1801715818318455
197,1.1751846562732349
198,1.16791433095932
199,1.184527332132513
200,1.1618815714662725
201,1.1682091572067954
202,1.1676758907058022
203,1.163625343279405
204,1.1692281419580632
205,1.1604523658752441
206,1.1593473662029614
207,1.1613910414955833
208,1.150470879944888
209,1.1474318558519536
210,1.152416315945712
211,1.157058910890059
212,1.1653015613555908
213,1.1597319895570928
214,1.1544249057769775
215,1.15669246153398
216,1.1544052145697854
217,1.1545749306678772
218,1.1545770547606728
219,1.1497797532515093
220,1.1593148166483098
221,1.147565245628357
222,1.1568597934462808
223,1.1466887484897266
224,1.1483761993321506
225,1.156888403675773
226,1.1611997918649153
227,1.151547442783009
228,1.1419313224879177
229,1.1367295709523288
230,1.1627223220738498
231,1.151792824268341
232,1.148289144039154
233,1.1540904586965388
234,1.1446902589364485
235,1.147564627907493
236,1.1436690579761157
237,1.129995346069336
238,1.1442745111205361
239,1.1421909982507878
240,1.141174468127164
241,1.1457874070514331
242,1.1492922522804954
243,1.1314682852138171
244,1.1480718092484907
245,1.1569538549943403
246,1.144529174674641
247,1.1412649371407249
248,1.1399382136084817
249,1.130759829824621
250,1.1346582878719678
251,1.1337174610658125
252,1.1336454857479443
